CODE;price;old price;ostatok
103487;39792;;777777
103488;35370;;777777
103539;99456;;777777
104204;45990;;8
104223;36990;;7
104224;44091;48990.00;43
104227;47990;;31
104228;58990;;0
104917;28900;;0
105083;41777;;2
105572;79920;;777777
105573;195000;;777777
105574;111888;;777777
105585;142080;;777777
105586;142080;;777777
105587;173160;;777777
105588;173160;;777777
105599;117000;;777777
105601;133200;;777777
105604;175824;;777777
105605;99456;;777777
105606;150960;;777777
105611;133200;;777777
105614;87557;;777777
105616;96384;;777777
105617;96792;;1
105621;176850;;1
105622;177600;;777777
105623;112300;;1
105624;112300;;1
105625;112300;;777777
105626;142080;;777777
105627;142080;;777777
105628;45981;;777777
105632;87024;;0
105633;106130;;777777
105636;75480;;777777
105637;93240;;777777
105649;115440;;1
105650;177600;;777777
105651;177600;;777777
105652;90576;;777777
105653;90576;;777777
105656;128760;;777777
105657;128760;;777777
105658;168720;;777777
105659;168720;;777777
105660;81351;;777777
105662;81351;;777777
105668;208680;;1
105671;97268;;777777
105672;150323;;777777
105675;98980;;777777
105676;95499;;777777
105681;88425;;777777
105682;102573;;777777
105683;177600;;777777
105684;150960;;777777
105688;79920;;777777
105690;88800;;777777
105705;148554;;777777
105706;40848;;777777
105707;87024;;777777
105710;39000;;777777
105712;171600;;777777
105713;210600;;777777
105716;78000;;777777
105718;69264;;777777
105726;58361;;777777
105727;88425;;777777
105728;106110;;777777
105735;49800;;777777
105736;49800;;777777
106481;26570;;8
106482;25120;;5
106483;35160;;3
106484;47600;;3
106485;33770;;1
106486;11830;;4
106487;7650;;20
106488;16630;;8
106489;10150;;6
106492;22000;;0
106493;34210;;0
106494;11940;;19
106495;17920;;10
106500;16700;;6
106501;21240;;7
106502;20470;;11
106503;22890;;14
106504;66200;;8
106505;40990;;6
106507;56000;;0
106508;89300;;0
106509;25210;;8
106714;29500;;4
106863;15700;;0
106864;19800;;0
106869;13800;;0
106871;26300;;0
106875;24400;;0
106876;9050;;2
106877;9050;;0
106878;16600;;0
106880;14250;;0
107530;36890;;5
107531;48220;;9
107532;76030;;9
107553;52270;;0
107780;32708;;5
107803;35909;;0
107804;57536;;0
107807;59429;;1
107927;94036;;1
107928;81516;;1
107929;81516;;1
107930;128199;;1
107932;206221;;1
107933;206221;;1
107936;55670;;1
107938;75940;;1
107939;86048;;1
107940;108768;;1
107941;108768;;1
107944;107385;;1
107945;139918;;1
107946;176866;;1
107950;140264;;1
108248;34280;;20
108249;63160;;1
108323;25100;;0
108324;24810;;0
108325;23960;;0
108326;27300;;0
108335;34070;;0
108436;17750;;3
108446;23990;;7
108447;28990;;17
108448;17990;;50
108449;21990;;50
108450;34990;;21
108451;23990;;50
108465;19990;;9
108466;27990;;22
108484;14990;;50
108485;14990;;34
108486;19990;;50
108568;62505;97665.00;0
108569;93395;145925.00;0
108571;62505;97665.00;1
108574;82945;129600.00;0
108575;106530;166450.00;0
108577;78210;122200.00;11
108578;102500;160150.00;0
109357;24999;;23
109580;32999;;12
109874;53249;;0
109875;36274;;0
109876;26484;;2
109880;54887;;0
109881;73445;;0
109886;25112;;11
109954;9190;;0
109955;14180;;0
109957;32110;;9
111111;35270;;10
111112;54970;;18
111113;74180;;0
111114;30910;;10
111115;42490;;20
111116;55210;;6
111117;24400;;18
111118;32820;;6
111119;44630;;0
111183;25740;;0
111184;28958;;0
111185;32175;;0
111187;80378;;0
111188;126522;;0
111365;75650;;0
111818;45381;;0
111820;71322;;0
111821;51497;;0
111824;38169;42410.00;2
112718;32076;;0
112719;58063;;0
112720;45540;;0
112721;42900;;0
113332;55790;;0
113465;14990;;26
113466;19990;;0
113901;78400;;2
113902;81200;;4
113903;97200;;2
113928;20600;;0
114603;86948;;0
114622;75402;82389.00;32
114623;95850;104731.00;12
114624;139641;;5
114625;107943;;15
114626;184327;;15
